"","Business","addresses","Zip.Code","Care.Type","long","lat","geoAddress"
"91","Devlin's Child Development Center","2156 South 1000 East, Salt Lake City, Utah",84106,"Center Licensed",-111.8630958,40.7242186,"2156 s 1000 e, salt lake city, ut 84106, usa"
"92","Hillcrest Jr. Huskies","7350 S 900 E, Midvale, Utah",84047,"Exempt Center - Schoolbased",-111.866422,40.6171685,"7350 south 900 east, midvale, ut 84047, usa"
"93","Spartan Station","5440 S State Street, Murray, Utah",84107,"Exempt Center - Schoolbased",-111.8902196,40.6537926,"5440 state st, murray, ut 84107, usa"
"94","Murray Boy's and Girl's Club J.R. Center","244 E Myrtle Ave, Murray, Utah",84107,"Exempt Afterschool Program",-111.8853732,40.6610816,"244 e myrtle ave, murray, ut 84107, usa"
"95","Promise South Salt Lake - Utah International Charter School","320 E Baird Cir, Salt Lake City, Utah",84115,"Exempt Afterschool Program",-111.8823446,40.6929461,"320 baird cir, south salt lake, ut 84115, usa"
"96","Utah International Community School","350 E Baird Circle, Salt Lake City, Utah",84119,"Exempt Afterschool Program",-111.8817432,40.6929373,"350 baird cir, south salt lake, ut 84115, usa"
"97","Salt Lake County After-School Program at Kennedy Jr. High","4495 South 4800 West, West Valley City, Utah",84120,"Exempt Afterschool Program",-112.003838,40.672342,"4495 s 4800 w, west valley city, ut 84120, usa"
"98","ABC Great Beginnings- Redwood","3672 Redwood Road, West Valley City, Utah",84119,"Center Licensed",-111.9405385,40.692211,"3672 s redwood rd, west valley city, ut 84119, usa"
"99","Amy's Home Daycare","3703 West Bryce Canyon Drive, Riverton, Utah",84065,"Family Licensed",-111.9789481,40.5153759,"3703 bryce canyon dr, riverton, ut 84065, usa"
"100","Family, Friends & Neighbor","4568 W Ripple Creek Circle, West Jordan, Utah",84088,"Family, Friends & Neighbor",-111.9997502,40.5864505,"4568 ripple creek cir, west jordan, ut 84088, usa"
"101","Family Licensed","6564 Daffodil Way, West Jordan, Utah",84084,"Family Licensed",-112.0196686,40.6321129,"6564 s daffodil way, west jordan, ut 84081, usa"
"102","Residential Certified","6100 Country Hills Drive, Taylorsville, Utah",84129,"Residential Certified",-111.9830059,40.6404022,"6100 3840 w, taylorsville, ut 84129, usa"
"103","Daydreams and Fun Things","6287 West 3740 South, West Valley City, Utah",84128,"Family Licensed",-112.0411555,40.6905272,"6287 w 3740 s, west valley city, ut 84128, usa"
"104","Allison Cannon","4121 South 380 East, Millcreek, Utah",84107,"Family Licensed",-111.880196,40.681831,"4121 s 380 e, murray, ut 84107, usa"
"105","Family Licensed","2485 West 3935 South, West Valley City, Utah",84119,"Family Licensed",-111.9538488,40.6859328,"2485 w 3935 s, west valley city, ut 84119, usa"
"106","Residential Certified","6885 South Redwood Road #2310, West Jordan, Utah",84084,"Residential Certified",-111.9372936,40.6260564,"6885 s redwood rd, west jordan, ut 84084, usa"
"107","Wasatch Family Foundation","1458 E Murray-Holladay Road, Holladay, Utah",84117,"Exempt Center - Schoolbased",-111.8500175,40.6662462,"1458 e murray holladay rd, holladay, ut 84117, usa"
"108","Guardian Angel Daycare","300 E 11800 S, Draper, Utah",84020,"Exempt Center - Schoolbased",-111.8821236,40.5360539,"300 11800 s, draper, ut 84020, usa"
"109","Family Licensed","5250 South 2200 West, Taylorsville, Utah",84129,"Family Licensed",-111.948741,40.6560119,"5250 2200 w, salt lake city, ut 84129, usa"
"110","Skool Days Child Care Center- Draper","PO Box 300, Draper, Utah",84020,"Center Licensed",-111.8638226,40.5246711,"draper, ut, usa"
"111","Skool Days Child Care Center- Sandy","P.O. Box 300, Sandy, Utah",84020,"Center Licensed",-111.8389726,40.5649781,"sandy, ut, usa"
"112","Skool Days Child Care Center-Riverton","PO Box 300, Draper, Utah",84020,"Center Licensed",-111.8638226,40.5246711,"draper, ut, usa"
"113","Children's Campus Daycare","5208 West Holder Drive, West Valley City, Utah",84120,"Family Licensed",-112.0153658,40.6798867,"5208 holder dr, west valley city, ut 84120, usa"
"114","Country Kids Academy","1648 Country Terrace Circle, Sandy, Utah",84092,"Family Licensed",-111.8449849,40.5340555,"1648 country terrace cir, sandy, ut 84092, usa"
"115","Residential Certified","4463 west copper pot lane, West Jordan, Utah",84088,"Residential Certified",-111.9973842,40.5937511,"4463 copper pot ln, west jordan, ut 84088, usa"
"116","Utah Community Action Head Start - Horizonte","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"117","Utah Community Action Head Start - Shriver","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"118","Utah Community Action Head Start - James R Russell 5, 6, 7, 9, 10, 15","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"119","Family, Friends & Neighbor","8492 W Elk Meas Rd, Magna, Utah",84404,"Family, Friends & Neighbor",-112.0961654,40.6935108,"8492 elk mesa rd, magna, ut 84044, usa"
"120","Little Blessings Daycare","5882 Vogue Court, Herriman, Utah",84096,"Family Licensed",-112.0313747,40.5049041,"5882 vogue ct, herriman, ut 84096, usa"
"121","Family Licensed","815 North 1400 West, Salt Lake City, Utah",84116,"Family Licensed",-111.9313258,40.7870337,"815 n 1400 w, salt lake city, ut 84116, usa"
"122","Meadowbrook STEM Center","220 E Morris Ave, Salt Lake City, Utah",84115,"Exempt Afterschool Program",-111.8850754,40.7173946,"220 e morris ave, south salt lake, ut 84115, usa"
"123","Family Licensed","5662 Walnut View Dr., Kearns, Utah",84118,"Family Licensed",-112.02588,40.641183,"5662 walnut view dr, kearns, ut 84118, usa"
"124","Family, Friends & Neighbor","451 E Wilson Ave, Salt Lake City, Utah",84115,"Family, Friends & Neighbor",-111.8781512,40.7320041,"451 wilson ave s, salt lake city, ut 84115, usa"
"125","Youth City - Sorenson","210 E 600 S, Salt Lake City, Utah",84111,"Exempt Afterschool Program - DWS Approved",-111.8850304,40.7563065,"210 e 600 s, salt lake city, ut 84111, usa"
"126","Family Licensed","6128 South Hazelhurst Dr, Taylorsville, Utah",84129,"Family Licensed",-111.96067,40.639839,"6128 hazelhurst dr, taylorsville, ut 84129, usa"
"127","Little Turtles Daycare","4661 South Sunstone Rd, Taylorsville, Utah",84123,"Residential Certified",-111.9086772,40.6685889,"4661 sunstone rd, taylorsville, ut 84123, usa"
"128","Family Licensed","1050 West 500 North, Salt Lake City, Utah",84116,"Family Licensed",-111.9215,40.7805057,"1050 w 500 n, salt lake city, ut 84116, usa"
"129","Central City Teen Program","210 E 600 S, Salt Lake City, Utah",84111,"Registered Teen Program",-111.8850304,40.7563065,"210 e 600 s, salt lake city, ut 84111, usa"
"130","Glendale Library Teen Program","210 E 600 S, Salt Lake City, Utah",84111,"Registered Teen Program",-111.8850304,40.7563065,"210 e 600 s, salt lake city, ut 84111, usa"
"131","Northwest Teen Program","210 E 600 S, Salt Lake City, Utah",84111,"Exempt Afterschool Program",-111.8850304,40.7563065,"210 e 600 s, salt lake city, ut 84111, usa"
"132","Canyons 21st Century Community Learning Center - Copperview Elementary School","8449 S Monroe, Midvale, Utah",84047,"Exempt Afterschool Program",-111.8950187,40.5976842,"8449 s monroe st, midvale, ut 84047, usa"
"133","Eastside Preschool","1650 East 3300 South, Salt Lake City, Utah",84106,"Center Licensed",-111.844353,40.699629,"1650 e 3300 s, salt lake city, ut 84106, usa"
"134","Family, Friends & Neighbor","1466 Sandpiper Way, Salt Lake City, Utah",84117,"Family, Friends & Neighbor",-111.849901,40.6575753,"1466 sandpiper way, holladay, ut 84117, usa"
"135","Kairos Academy","1325 W 2200 S Ste A, West Valley City, Utah",84119,"Center Licensed",-111.9302265,40.7233274,"1325 w 2200 s a, west valley city, ut 84119, usa"
"136","St. John's Community Child Development Center Murray","240 E 5600 S, Murray, Utah",84107,"Center Licensed",-111.884736,40.64852,"240 e 5600 s, murray, ut 84107, usa"
"137","The Montessori Way","3018 Collie Drive, West Valley City, Utah",84128,"Family Licensed",-112.056391,40.7054479,"3018 collie dr, west valley city, ut 84128, usa"
"138","Family, Friends & Neighbor","2900 W 4570 S, West Valley City, Utah",84119,"Family, Friends & Neighbor",-111.9619311,40.6709686,"2900 w 4570 s, west valley city, ut 84119, usa"
"139","Victoria's Daycare","4014 West Sun Dr, Kearns, Utah",84118,"Family Licensed",-111.9868046,40.6427013,"4014 sun dr, kearns, ut 84118, usa"
"140","Family, Friends & Neighbor","747 W Twin River Way, Salt Lake City, Utah",84123,"Family, Friends & Neighbor",-111.9136178,40.6793262,"747 w twin river way, salt lake city, ut 84123, usa"
"141","Gigi's Learn","10752 Fern Ridge Drive, South Jordan, Utah",84009,"Family Licensed",-111.9898172,40.5559183,"10752 fern ridge dr, south jordan, ut 84095, usa"
"142","Family Licensed","2320 W 4805 S, Taylorsville, Utah",84129,"Family Licensed",-111.950679,40.66549,"2320 w 4805 s, taylorsville, ut 84129, usa"
"143","Neighborhood House Association","1050 West 500 South, Salt Lake City, Utah",84104,"Center Licensed",-111.9218707,40.7598625,"1050 w 500 s, salt lake city, ut 84104, usa"
"144","Katia's Day Care","8805 S 2700 W, West Jordan, Utah",84088,"Family Licensed",-111.957482,40.5913341,"8805 2700 w, west jordan, ut 84088, usa"
"145","Narda's Place","1928 East 2100 South, South Salt Lake City, Utah",84106,"Family Licensed",-111.8360929,40.7252603,"1928 e 2100 s, salt lake city, ut 84106, usa"
"146","Family, Friends & Neighbor","1516 Concord St., Salt Lake City, Utah",84104,"Family, Friends & Neighbor",-111.9270911,40.7364821,"1516 concord st, salt lake city, ut 84104, usa"
"147","St. John The Baptist Elementary School","300 E 11800 S, Draper, Utah",84020,"Exempt Afterschool Program",-111.8821236,40.5360539,"300 11800 s, draper, ut 84020, usa"
"148","Family Licensed","3334 South Forsythia Drive, West Valley City, Utah",84119,"Family Licensed",-111.972545,40.699445,"3334 forsythia dr, west valley city, ut 84119, usa"
"149","Lyn's Smart and Fun Childcare","11882 S Aztec Rd, Draper, Utah",84020,"Family Licensed",-111.8993738,40.5354134,"11882 aztec rd, draper, ut 84020, usa"
"150","Family Licensed","5472 W Vista Ridge Way, Kearns, Utah",84118,"Family Licensed",-112.021583,40.648671,"5472 vista ridge way, kearns, ut 84118, usa"
"151","Cowley Daycare","3911 South Brina Lane, Magna, Utah",84044,"Family Licensed",-112.0675656,40.6865041,"3911 brina ln, magna, ut 84044, usa"
"152","Youth City - Fairmont Park","210 E 600 S, Salt Lake City, Utah",84111,"Exempt Afterschool Program - DWS Approved",-111.8850304,40.7563065,"210 e 600 s, salt lake city, ut 84111, usa"
"153","Family Licensed","13228 South 330 West, Draper, Utah",84020,"Family Licensed",-111.9006882,40.5111077,"13228 s 330 w, draper, ut 84020, usa"
"154","Utah Community Action Head Start - South Kearns","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"155","Utah Community Action Head Start- Monroe","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"156","Utah Community Action Head Start - Majestic","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"157","Utah Community Action Head Start - Copperview Community Center Blue, Yellow, Green","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-111.9166561,40.7412981,"1307 s 900 w, salt lake city, ut 84104, usa"
"158","Cuenca's Learn and Grow Preschool","7927 Linton Drive, West Jordan, Utah",84088,"Family Licensed",-111.963668,40.607477,"7927 linton dr, west jordan, ut 84088, usa"
"159","McGillis Elementray","668 S 1300 E, Salt Lake City, Utah",84102,"Exempt Afterschool Program",-111.8548247,40.7547644,"668 s 1300 e, salt lake city, ut 84102, usa"
"160","Creek Road Childcare (Saint Thomas More Catholic Church)","3015 E. Creek Rd, Sandy, Utah",84093,"Center Licensed",-111.8079663,40.60461,"3015 creek rd, sandy, ut 84093, usa"
"161","Family Licensed","PO Box 901963, Sandy, Utah",84090,"Family Licensed",-111.8389726,40.5649781,"sandy, ut, usa"
"162","Granger Elementary After School Program/Community Education Partnership of WVC","3700 S 1950 W, West Valley City, Utah",84119,"Exempt Afterschool Program - DWS Approved",-111.9437331,40.6923289,"3700 s 1950 w, west valley city, ut 84119, usa"
